"Participant","Duration","Illusion_Type","Block_Order","Trial","Stimulus","Illusion_Strength","Illusion_Side","Illusion_Difference","Answer","Error","ISI","RT","Study","Pyllusion","Illusion_Difference_log","Illusion_Difference_sqrt","Illusion_Difference_cbrt"
"zna8j6rta7",1.33801666666667,"Delboeuf",1,1,"Delboeuf_str0_diff1.0",0,"1",1,"arrowleft",0,897,414,0,"1.1",0.693147180559945,1,1
"zna8j6rta7",1.33801666666667,"Delboeuf",1,2,"Delboeuf_str0_diff-0.001",0,"-1",0.001,"arrowright",0,848,421,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Delboeuf",1,3,"Delboeuf_str0_diff0.001",0,"1",0.001,"arrowright",1,744,343,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Delboeuf",1,4,"Delboeuf_str0_diff-1.0",0,"-1",1,"arrowright",0,991,342,0,"1.1",0.693147180559945,1,1
"zna8j6rta7",1.33801666666667,"Müller-Lyer",2,1,"MullerLyer_str0_diff-0.46",0,"-1",0.46,"arrowdown",0,839,589,0,"1.1",0.378436435720245,0.678232998312527,0.771944262936164
"zna8j6rta7",1.33801666666667,"Müller-Lyer",2,2,"MullerLyer_str0_diff-0.001",0,"-1",0.001,"arrowdown",0,508,365,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Müller-Lyer",2,3,"MullerLyer_str0_diff0.001",0,"1",0.001,"arrowdown",1,849,534,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Müller-Lyer",2,4,"MullerLyer_str0_diff0.46",0,"1",0.46,"arrowup",0,770,311,0,"1.1",0.378436435720245,0.678232998312527,0.771944262936164
"zna8j6rta7",1.33801666666667,"Zöllner",3,1,"Zollner_str0_diff-0.001",0,"-1",0.001,"arrowright",1,557,1036,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Zöllner",3,2,"Zollner_str0_diff-4.3",0,"-1",4.3,"arrowright",1,651,359,0,"1.1",1.66770682055808,2.07364413533277,1.62613333167917
"zna8j6rta7",1.33801666666667,"Zöllner",3,3,"Zollner_str0_diff4.3",0,"1",4.3,"arrowleft",1,523,393,0,"1.1",1.66770682055808,2.07364413533277,1.62613333167917
"zna8j6rta7",1.33801666666667,"Zöllner",3,4,"Zollner_str0_diff0.001",0,"1",0.001,"arrowright",0,915,556,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Contrast",4,1,"Contrast_str0_diff-20.0",0,"-1",20,"arrowdown",0,674,583,0,"1.1",3.04452243772342,4.47213595499958,2.71441761659491
"zna8j6rta7",1.33801666666667,"Contrast",4,2,"Contrast_str0_diff20.0",0,"1",20,"arrowup",0,708,466,0,"1.1",3.04452243772342,4.47213595499958,2.71441761659491
"zna8j6rta7",1.33801666666667,"Contrast",4,3,"Contrast_str0_diff0.001",0,"1",0.001,"arrowdown",1,699,429,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Contrast",4,4,"Contrast_str0_diff-0.001",0,"-1",0.001,"arrowdown",0,602,447,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Rod-Frame",5,1,"RodFrame_str0_diff-7.0",0,"-1",7,"arrowright",1,680,410,0,"1.1",2.07944154167984,2.64575131106459,1.91293118277239
"zna8j6rta7",1.33801666666667,"Rod-Frame",5,2,"RodFrame_str0_diff0.001",0,"1",0.001,"arrowleft",1,872,442,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Rod-Frame",5,3,"RodFrame_str0_diff-0.001",0,"-1",0.001,"arrowright",1,957,391,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Rod-Frame",5,4,"RodFrame_str0_diff7.0",0,"1",7,"arrowleft",1,886,326,0,"1.1",2.07944154167984,2.64575131106459,1.91293118277239
"zna8j6rta7",1.33801666666667,"Poggendorff",6,1,"Poggendorff_str0_diff-0.001",0,"-1",0.001,"arrowdown",0,772,605,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Poggendorff",6,2,"Poggendorff_str0_diff-0.3",0,"-1",0.3,"arrowdown",0,687,411,0,"1.1",0.262364264467491,0.547722557505166,0.66943295008217
"zna8j6rta7",1.33801666666667,"Poggendorff",6,3,"Poggendorff_str0_diff0.3",0,"1",0.3,"arrowup",0,791,361,0,"1.1",0.262364264467491,0.547722557505166,0.66943295008217
"zna8j6rta7",1.33801666666667,"Poggendorff",6,4,"Poggendorff_str0_diff0.001",0,"1",0.001,"arrowdown",1,847,355,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Vertical-Horizontal",7,1,"VerticalHorizontal_str0_diff0.001",0,"1",0.001,"arrowright",1,867,417,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"Vertical-Horizontal",7,2,"VerticalHorizontal_str0_diff-0.25",0,"-1",0.25,"arrowright",0,911,646,0,"1.1",0.22314355131421,0.5,0.629960524947437
"zna8j6rta7",1.33801666666667,"Vertical-Horizontal",7,3,"VerticalHorizontal_str0_diff0.25",0,"1",0.25,"arrowleft",0,686,449,0,"1.1",0.22314355131421,0.5,0.629960524947437
"zna8j6rta7",1.33801666666667,"Vertical-Horizontal",7,4,"VerticalHorizontal_str0_diff-0.001",0,"-1",0.001,"arrowleft",1,560,499,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"White",8,1,"White_str0_diff-0.001",0,"-1",0.001,"arrowright",0,697,1416,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"White",8,2,"White_str0_diff0.001",0,"1",0.001,"arrowleft",0,730,282,0,"1.1",0.000999500333083423,0.0316227766016838,0.1
"zna8j6rta7",1.33801666666667,"White",8,3,"White_str0_diff-17.0",0,"-1",17,"arrowleft",1,801,352,0,"1.1",2.89037175789616,4.12310562561766,2.57128159065824
"zna8j6rta7",1.33801666666667,"White",8,4,"White_str0_diff17.0",0,"1",17,"arrowleft",0,768,368,0,"1.1",2.89037175789616,4.12310562561766,2.57128159065824
